id,date,corrib_production,moffat,ROI_imports_via_interconnector,total
267,2018-09-24,86.0158,118.389,79.8215,284.226
268,2018-09-25,86.5053,70.8333,33.3826,190.721
269,2018-09-26,85.7471,93.2667,58.0846,237.098
270,2018-09-27,85.4661,90.8444,71.2448,247.555
271,2018-09-28,84.6556,119.044,93.9134,297.613
272,2018-09-29,84.6972,89.3556,65.4516,239.504
273,2018-09-30,85.1901,84.3023,56.8525,226.345
274,2018-10-01,85.0321,97.9444,62.2185,245.195
275,2018-10-02,84.9023,78.8556,44.5573,208.315
276,2018-10-03,84.845,118.678,80.0318,283.555
277,2018-10-04,84.5642,112.97,77.5735,275.108
278,2018-10-05,84.567,120.333,85.6891,290.589
279,2018-10-06,84.4916,105.478,76.4551,266.424
280,2018-10-07,84.4587,65.3333,41.5591,191.351
281,2018-10-08,84.3341,72.1333,51.7195,208.187
282,2018-10-09,84.2389,70.9444,52.3792,207.563
283,2018-10-10,84.09,69.1667,41.3506,194.607
284,2018-10-11,84.2088,91.3,60.0475,235.556
285,2018-10-12,84.0956,76.6111,50.0869,210.794
286,2018-10-13,84.0179,120.178,81.216,285.412
287,2018-10-14,83.9959,126.344,92.6095,302.95
288,2018-10-15,83.8424,125.544,86.4459,295.833
289,2018-10-16,83.8789,114.944,78.0304,276.854
290,2018-10-17,83.8053,140.789,98.8388,323.433
291,2018-10-18,83.4552,144.322,103.897,331.674
292,2018-10-19,83.5674,130.767,89.9372,304.271
293,2018-10-20,83.5127,103.367,71.6922,258.572
294,2018-10-21,83.4973,79.0556,53.0574,215.61
295,2018-10-22,83.3717,116.189,82.3113,281.872
296,2018-10-23,83.3921,96.5444,72.6407,252.577
297,2018-10-24,83.2967,115.067,89.1553,287.519
298,2018-10-25,83.2912,126.033,86.1031,295.428
299,2018-10-26,83.2041,109.267,71.3787,263.85
300,2018-10-27,86.4977,99.1333,83.9196,269.551
301,2018-10-28,83.0985,128.944,95.655,307.698
302,2018-10-29,83.0234,139.944,93.1842,316.152
303,2018-10-30,82.9526,172.622,129.355,384.93
304,2018-10-31,82.9196,169.578,126.448,378.946
305,2018-11-01,82.8583,162.644,124.328,369.831
306,2018-11-02,82.6831,145.311,99.0754,327.07
307,2018-11-03,82.7176,78.9889,52.4571,214.164
308,2018-11-04,78.311,127.522,90.1889,296.022
309,2018-11-05,82.5611,152.8,105.307,340.668
310,2018-11-06,82.5442,124.044,83.8688,290.457
311,2018-11-07,82.1581,136.422,98.4798,317.06
312,2018-11-08,82.0568,143.689,99.293,325.039
313,2018-11-09,76.2866,113.956,78.1117,268.354
314,2018-11-10,82.2293,126.256,95.8355,304.32
315,2018-11-11,82.0244,108.767,72.1027,262.894
316,2018-11-12,82.0535,118.233,77.6649,277.952
317,2018-11-13,81.9027,107.689,78.4572,268.049
318,2018-11-14,81.8881,91.3556,65.6587,238.902
319,2018-11-15,81.8323,116.589,76.3482,274.769
320,2018-11-16,81.7544,98.1,56.8407,236.695
321,2018-11-17,81.7379,78.2222,46.7412,206.701
322,2018-11-18,81.6986,86.0111,51.36,219.07
323,2018-11-19,81.6327,131.411,87.5147,300.558
324,2018-11-20,81.5599,143.278,98.8763,323.714
325,2018-11-21,81.5007,176.767,126.351,384.619
326,2018-11-22,81.2716,164.811,114.229,360.312
327,2018-11-23,81.1937,179.267,121.609,382.069
328,2018-11-24,81.1409,158.133,106.854,346.128
329,2018-11-25,81.1927,146.467,98.2496,325.909
330,2018-11-26,81.1515,161.922,102.818,345.891
331,2018-11-27,81.166,145.947,93.3373,320.451
332,2018-11-28,81.0166,132.267,78.4021,291.685
333,2018-11-29,80.9622,137.7,87.6438,306.306
334,2018-11-30,41.9277,187.147,138.551,367.626
335,2018-12-01,76.8982,154.267,98.5134,329.678
336,2018-12-02,81.0074,95.7222,53.8862,230.616
337,2018-12-03,80.6029,160.734,115.675,357.011
338,2018-12-04,80.8338,179.289,126.304,386.427
339,2018-12-05,47.9592,205.692,147.992,401.643
340,2018-12-06,80.5015,122.467,74.3997,277.368
341,2018-12-07,80.4506,103.522,64.3495,248.322
342,2018-12-08,80.4123,83.8333,51.1679,215.414
343,2018-12-09,80.3642,100.722,56.0983,237.185
344,2018-12-10,80.2964,170.556,105.8,356.652
345,2018-12-11,80.2733,146.833,95.8536,322.96
346,2018-12-12,80.2718,141.444,83.9517,305.668
347,2018-12-13,80.2179,160.211,103.568,343.997
348,2018-12-14,80.1591,138.356,86.9938,305.508
349,2018-12-15,80.1221,98.7667,66.1321,245.021
350,2018-12-16,80.1048,150.622,101.528,332.255
351,2018-12-17,50.2026,159.567,112.868,322.637
352,2018-12-18,81.7458,136.222,87.1584,305.126
353,2018-12-19,80.8493,148.867,91.627,321.343
354,2018-12-20,80.4419,156.767,94.2916,331.5
355,2018-12-21,80.3705,137.333,86.3179,304.022
356,2018-12-22,80.2299,124.856,82.5681,287.654
357,2018-12-23,80.1525,127.744,79.5727,287.47
358,2018-12-24,80.0643,107.078,63.9291,251.071
359,2018-12-25,79.9802,80.2111,43.1013,203.293
360,2018-12-26,79.944,92.3889,56.7579,229.091
361,2018-12-27,79.8391,117.478,78.2156,275.533
362,2018-12-28,79.7042,106.744,63.5535,250.002
363,2018-12-29,79.7357,90.0827,59.8727,229.691
364,2018-12-30,79.6679,80.2333,52.244,212.145
365,2018-12-31,79.5703,98.8778,64.4071,242.855
366,2019-01-01,79.5246,110.144,75.2158,264.885
367,2019-01-02,79.493,150.778,96.0846,326.355
368,2019-01-03,76.4045,155.256,99.0614,330.721
369,2019-01-04,79.1207,156.211,103.152,338.484
370,2019-01-05,79.1843,137.644,92.261,309.09
371,2019-01-06,79.1225,113.867,69.2246,262.214
372,2019-01-07,79.1085,112.344,69.9873,261.44
373,2019-01-08,79.0398,158.022,105.903,342.965
374,2019-01-09,79.0113,175.233,115.718,369.962
375,2019-01-10,75.5825,173.133,117.231,365.947
376,2019-01-11,79.7242,145.989,93.4742,319.187
377,2019-01-12,78.7937,84.2667,46.8186,209.879
378,2019-01-13,78.7582,75.5,46.5019,200.76
379,2019-01-14,78.6883,148.467,100.057,327.212
380,2019-01-15,78.6867,138.944,86.1682,303.799
381,2019-01-16,78.6387,151.344,97.0144,326.998
382,2019-01-17,78.6209,171.333,112.133,362.088
383,2019-01-18,70.5231,180.767,121.196,372.486
384,2019-01-19,78.5101,156.511,98.8201,333.841
385,2019-01-20,79.4125,138.011,84.6528,302.076
386,2019-01-21,78.6039,157.878,104.07,340.551
387,2019-01-22,78.5015,213.2,140.018,431.72
388,2019-01-23,78.4177,197.467,139.781,415.665
389,2019-01-24,71.1704,155.933,105.174,332.278
390,2019-01-25,79.4981,115.9,76.9964,272.395
391,2019-01-26,78.2554,95.9111,55.7856,229.952
392,2019-01-27,78.2444,125.0,78.8558,282.1
393,2019-01-28,78.1919,167.467,103.442,349.101
394,2019-01-29,78.2088,186.422,116.487,381.117
395,2019-01-30,78.0834,209.233,139.368,426.685
396,2019-01-31,78.0782,183.344,118.999,380.422
397,2019-02-01,77.9517,195.378,130.229,403.558
398,2019-02-02,77.8221,178.356,117.574,373.752
399,2019-02-03,77.7375,129.533,73.73,281.001
400,2019-02-04,74.1479,180.478,113.693,368.318
401,2019-02-05,53.8068,159.389,106.311,319.506
402,2019-02-06,79.4111,142.789,79.4517,301.652
403,2019-02-07,78.1958,152.467,91.3239,321.986
404,2019-02-08,77.9146,112.089,63.7999,253.803
405,2019-02-09,77.8961,131.833,91.9679,301.697
406,2019-02-10,77.6996,115.978,69.6959,263.373
407,2019-02-11,77.586,160.578,102.993,341.157
408,2019-02-12,77.5392,131.9,82.2555,291.695
409,2019-02-13,77.6275,106.007,60.4012,244.036
410,2019-02-14,77.4994,116.578,66.0551,260.132
411,2019-02-15,77.4784,106.069,58.3584,241.906
412,2019-02-16,77.1595,76.6333,44.5855,198.378
413,2019-02-17,72.9513,66.0556,37.2206,176.227
414,2019-02-18,77.4996,116.078,78.428,272.005
415,2019-02-19,66.7507,134.611,90.9294,292.291
416,2019-02-20,73.5508,109.514,64.4406,247.505
417,2019-02-21,77.4197,96.9889,53.9157,228.324
418,2019-02-22,77.1253,86.3111,51.7203,215.157
419,2019-02-23,77.1636,100.8,65.1861,243.15
420,2019-02-24,76.9328,93.0778,54.8307,224.841
421,2019-02-25,76.1657,115.011,79.392,270.569
422,2019-02-26,64.245,148.511,98.2983,311.054
423,2019-02-27,77.572,165.1,110.348,353.02
424,2019-02-28,76.831,178.822,118.595,374.248
425,2019-03-01,76.6677,164.511,115.527,356.706
426,2019-03-02,76.6063,86.6,52.6476,215.854
427,2019-03-03,76.5172,146.0,102.035,324.552
428,2019-03-04,76.4592,159.9,102.102,338.461
429,2019-03-05,76.3632,145.289,106.516,328.168
430,2019-03-06,76.352,146.944,102.752,326.049
431,2019-03-07,76.2748,150.378,104.264,330.917
432,2019-03-08,61.7604,148.656,115.727,326.143
433,2019-03-09,69.7676,150.633,91.6342,312.035
434,2019-03-10,76.8535,113.833,73.338,264.025
435,2019-03-11,76.3641,138.089,90.2615,304.714
436,2019-03-12,76.2645,124.9,82.2035,283.368
437,2019-03-13,76.1555,129.778,78.8332,284.766
438,2019-03-14,76.0437,119.567,68.574,264.184
439,2019-03-15,75.9136,132.433,82.6223,290.969
440,2019-03-16,76.0032,112.844,70.6119,259.459
441,2019-03-17,75.7522,114.644,71.5231,261.92
442,2019-03-18,75.8163,169.844,108.629,354.29
443,2019-03-19,75.7132,167.5,113.603,356.817
444,2019-03-20,75.6277,151.684,93.5727,320.884
445,2019-03-21,75.5855,125.833,78.0149,279.434
446,2019-03-22,75.6034,127.467,87.2386,290.309
447,2019-03-23,75.5026,147.589,99.6583,322.75
448,2019-03-24,75.4544,99.6667,72.49,247.611
449,2019-03-25,75.3768,165.889,110.04,351.306
450,2019-03-26,75.2633,156.744,101.816,333.824
451,2019-03-27,75.3261,157.467,101.954,334.747
452,2019-03-28,75.1803,136.078,86.7332,297.991
453,2019-03-29,75.2134,156.019,98.5322,329.765
454,2019-03-30,72.0282,138.522,94.1869,304.737
455,2019-03-31,75.005,138.478,94.1457,307.628
456,2019-04-01,75.0898,163.4,107.662,346.151
457,2019-04-02,74.9798,166.056,107.166,348.202
458,2019-04-03,74.9498,147.733,93.0361,315.719
459,2019-04-04,74.9713,192.989,134.053,402.013
460,2019-04-05,75.0292,179.311,130.392,384.732
461,2019-04-06,74.9222,156.944,104.846,336.713
462,2019-04-07,74.8075,147.433,99.2636,321.504
463,2019-04-08,74.6795,137.989,99.3477,312.016
464,2019-04-09,73.4881,154.911,117.617,346.016
465,2019-04-10,74.7132,177.556,124.669,376.938
466,2019-04-11,74.604,183.433,120.723,378.761
467,2019-04-12,74.5333,145.689,97.6552,317.877
468,2019-04-13,74.5806,103.933,73.673,252.187
469,2019-04-14,74.5169,96.5556,67.2269,238.299
470,2019-04-15,72.4756,139.8,102.171,314.447
471,2019-04-16,74.5035,181.433,122.027,377.964
472,2019-04-17,74.3591,147.344,97.3031,319.007
473,2019-04-18,38.6608,166.467,129.711,334.838
474,2019-04-19,73.2943,143.056,96.4977,312.848
475,2019-04-20,75.2513,144.0,93.4455,312.697
476,2019-04-21,74.6974,101.933,58.8509,235.482
477,2019-04-22,74.409,71.9,39.8477,186.157
478,2019-04-23,74.3789,103.844,64.8318,243.055
479,2019-04-24,74.2514,107.644,77.1401,259.036
480,2019-04-25,74.1993,133.9,96.2612,304.361
481,2019-04-26,74.1695,125.933,77.7212,277.824
482,2019-04-27,74.0606,106.433,69.7251,250.219
483,2019-04-28,71.8959,159.1,114.773,345.769
484,2019-04-29,73.6674,143.922,95.3072,312.897
485,2019-04-30,74.3736,147.492,103.791,325.656
486,2019-05-01,73.727,148.967,100.604,323.298
487,2019-05-02,73.6527,147.833,107.118,328.604
488,2019-05-03,73.6403,145.856,105.309,324.805
489,2019-05-04,73.529,144.833,106.001,324.364
490,2019-05-05,73.4871,164.7,109.015,347.202
491,2019-05-06,73.427,176.822,118.691,368.941
492,2019-05-07,73.4251,155.292,103.913,332.63
493,2019-05-08,73.3526,134.844,92.2163,300.413
494,2019-05-09,73.275,187.7,132.5,393.475
495,2019-05-10,73.2806,192.178,137.995,403.453
496,2019-05-11,73.1195,150.878,114.392,338.389
497,2019-05-12,73.1127,106.656,70.5028,250.271
498,2019-05-13,73.1824,94.9444,58.2964,226.423
499,2019-05-14,73.0746,93.0111,57.1291,223.215
500,2019-05-15,72.9057,121.567,74.1538,268.626
501,2019-05-16,73.2179,132.844,92.9519,299.014
502,2019-05-17,70.3711,145.267,109.858,325.496
503,2019-05-18,72.9901,151.578,98.7509,323.319
504,2019-05-19,73.0111,140.422,88.3044,301.738
505,2019-05-20,72.9579,164.478,108.004,345.44
506,2019-05-21,72.8078,141.167,92.9339,306.908
507,2019-05-22,72.704,141.267,100.334,314.304
508,2019-05-23,72.6488,139.6,97.2874,309.536
509,2019-05-24,72.6159,129.867,96.3338,298.816
510,2019-05-25,72.4774,91.9111,65.979,230.367
511,2019-05-26,72.4222,64.1778,41.3279,177.928
512,2019-05-27,72.5946,127.944,85.725,286.264
513,2019-05-28,72.53,154.811,105.454,332.795
514,2019-05-29,72.4151,133.144,84.8783,290.438
515,2019-05-30,72.3655,115.878,74.3819,262.625
516,2019-05-31,72.4268,105.4,59.316,237.143
517,2019-06-01,72.2682,110.044,65.6826,247.995
518,2019-06-02,72.3677,55.2,28.318,155.886
